Date,Close,Open,High,Low,Volume
2019-12-07,10019.70,9928.10,10065.40,9905.30,7090000
2019-12-08,10797.40,10568.70,10911.80,10568.70,17120000
2019-12-09,10317.00,10134.00,10339.90,10134.00,11720000
2019-12-11,10522.90,10408.50,10568.70,10317.00,1380000
2019-12-12,11071.90,11117.70,11163.40,11026.20,8740000
2019-12-13,10888.90,11071.90,11209.20,10888.90,19960000
2019-12-16,10866.10,10888.90,10934.70,10774.60,10780000
2019-12-17,10591.60,10866.10,10911.80,10477.20,20780000
2019-12-18,10317.00,10591.60,10591.60,10294.20,15980000
2019-12-19,10431.40,10317.00,10568.70,10317.00,12120000
2019-12-20,10522.90,10500.00,10637.30,10431.40,1140000
2019-12-23,10545.80,10591.60,10751.70,10500.00,8440000
2019-12-24,10614.40,10545.80,10660.20,10500.00,6780000
2019-12-25,10591.60,10614.40,10705.90,10591.60,5010000
2019-12-26,10522.90,10660.20,10660.20,10522.90,6330000
2019-12-27,10774.60,10522.90,10774.60,10454.30,8810000
2019-12-30,10820.30,10820.30,10911.80,10751.70,6190000
2019-12-31,10751.70,10820.30,10843.20,10683.10,6060000
2020-01-04,7892.20,7640.60,8006.60,7617.70,10230000
2020-01-06,12650.40,12719.00,12719.00,12558.90,1690000
2020-01-07,12536.00,12353.00,12581.80,12307.20,22840000
2020-01-09,13826.40,13687.00,13910.00,13631.30,2940000
